ticket_id,date_submitted,customer_id,category,subcategory,priority,status,agent_assigned,resolution_time_hours,satisfaction_score,ticket_description,resolution_notes,is_recurrence,prior_ticket_ids,suggested_priority,suggested_category,suggested_subcategory,explanation
TKT-014,2024-01-14,CUST-8801,Model Output,Hallucination,,Open,,,,Model making up customer names and order numbers in our CRM integration.,,False,,High,Model Output,Hallucination,"The model is generating falsified data within an integrated CRM environment, which poses a significant risk to data integrity and business operations. This requires immediate investigation into the prompt engineering or RAG implementation used for the integration."
TKT-013,2024-01-14,CUST-2891,Integration,Authentication,High,Resolved,Sarah J.,1.0,5.0,API keys stopped working after we rotated them,Key rotation process explained. New keys working.,True,TKT-002,Low,Onboarding,Documentation/Process,"The issue was resolved by clarifying the key rotation procedure; it is a user-education issue rather than a platform defect. Given this is a recurring customer, documentation for the rotation process should be highlighted to prevent future support overhead."
TKT-015,2024-01-15,CUST-5502,Performance,Throughput,Medium,Resolved,Marcus T.,4.0,3.0,"Need to process 10,000 documents per hour but max we can get is 3,200",Explained parallelisation options. Customer needs to upgrade plan for higher concurrency limits.,True,TKT-006,Medium,Performance,Concurrency Limits,"The customer is hitting throughput bottlenecks due to current plan limitations, requiring an upsell to higher concurrency tiers to meet their 10k/hr processing requirement."
TKT-016,2024-01-15,CUST-3344,Integration,API Error,Low,Resolved,Priya K.,0.5,5.0,Getting malformed JSON responses occasionally,Edge case in response parsing identified. Workaround provided.,False,,Medium,Integration,Response Parsing,"The user experienced intermittent malformed JSON, which was resolved via a workaround; this should be monitored for potential underlying platform instability."
TKT-017,2024-01-16,CUST-4421,Safety,Content Filter,High,Escalated,Tom W.,,,Filters flagging legitimate compliance language. Escalated for custom filter configuration. Enterprise agreement required.,,True,"TKT-001, TKT-004",High,Safety,Content Filter,"The customer is experiencing false positives on compliance language, which is impacting business operations; this requires an immediate review for custom filter configuration under their Enterprise agreement."
TKT-018,2024-01-17,CUST-9921,Onboarding,Setup,,Resolved,Sarah J.,2.0,4.0,Not sure how to structure prompts for best results. Documentation is confusing.,Provided prompt engineering guide and examples relevant to customer use case.,False,,Low,Onboarding,Documentation,The user required guidance on prompt engineering due to unclear documentation; the ticket is resolved but indicates a need for better self-serve resources.
TKT-019,2024-01-18,CUST-1155,Model Output,Inconsistency,High,Open,,,,Third time reporting response inconsistency. Previous tickets TKT-005 and TKT-011. Temperature is set to 0. This is now a blocker for our production deployment.,,True,TKT-011,High,Model Output,Inconsistency,This is a recurring issue reported for the third time that is currently blocking the customer's production deployment. Immediate investigation is required to determine why temperature settings are failing to stabilize model outputs.
TKT-020,2024-01-18,CUST-6671,Billing,Pricing,Low,Resolved,Marcus T.,1.0,4.0,Can you explain the difference between the Pro and Enterprise plans?,Plan comparison sent.,True,TKT-008,Low,Billing,Pricing,This is a general sales and account inquiry regarding plan differences. No technical intervention is required as the customer's request has been addressed.
TKT-021,2024-01-21,CUST-2234,Model Output,Bias,High,Open,,,,Follow up to TKT-007. Two weeks later and no update. This bias issue is causing real harm in our product. We need an ETA on the fix.,,True,TKT-007,High,Model Output,Bias,This is a recurring issue from a previous ticket where the customer reports ongoing harm from model bias. An immediate status update and a clear ETA for resolution are required to prevent further escalation.
TKT-022,2024-01-21,CUST-4892,Integration,Data Format,,Resolved,Priya K.,2.5,4.0,"Output sometimes in markdown, sometimes plain text, inconsistent.",Prompt updated to specify output format explicitly.,True,TKT-010,Medium,Model Output,Inconsistent Formatting,"The customer is experiencing inconsistent output formats, which was resolved via prompt engineering; monitor for recurring reports from this customer as they have a history of integration issues."
TKT-023,2024-01-22,CUST-7743,Performance,Latency,Medium,Resolved,Tom W.,3.0,3.0,Slow responses again. Averaging 15 seconds.,Load balancing issue identified on infrastructure side. Resolved.,True,TKT-012,High,Performance,Latency,"This is a recurring performance issue impacting the user's workflow; although resolved, it should be escalated to the infrastructure team for a root cause analysis to prevent future recurrence."
TKT-024,2024-01-22,CUST-3310,Model Output,Hallucination,High,Open,,,,Model hallucinations continuing despite changes from TKT-009. Three weeks and this is still happening in production. We are considering switching providers.,,True,"TKT-003, TKT-009",High,Model Output,Hallucination,This is a recurring issue spanning three weeks that is currently impacting production and risking customer churn. Immediate escalation to the engineering or model reliability team is required to address the persistent performance degradation.
TKT-025,2024-01-23,CUST-5502,Integration,API Timeout,,Resolved,Sarah J.,2.0,4.0,Timeouts on large payloads,Payload chunking strategy provided.,True,"TKT-006, TKT-015",Medium,Integration,API Timeout,"The customer is experiencing recurring performance issues with large payloads that require specific implementation guidance; although resolved, this should be monitored due to the customer's history of similar requests."
TKT-027,2024-01-24,CUST-1122,Onboarding,setup,Low,Resolved,Marcus T.,1.5,5.0,How do I get started with fine tuning?,Fine-tuning documentation and quickstart guide sent.,False,,Low,Onboarding,Documentation,This is a general how-to inquiry regarding fine-tuning workflows; the ticket was resolved by providing existing documentation links.
TKT-026,2024-01-24,CUST-8801,Model Output,Hallucination,High,Open,,,,Still no resolution on TKT-014. Customer escalating to account manager.,,True,TKT-014,High,Model Output,Hallucination,"This is a recurring issue (TKT-014) that remains unresolved and has now been escalated by the customer to their account manager, requiring immediate senior oversight."
TKT-028,2024-01-25,CUST-9921,Model Output,Quality,Medium,Resolved,Priya K.,4.0,3.0,Outputs are technically correct but very verbose. Customers on our platform are complaining the answers are too long and hard to read.,Prompt engineering session booked. Added max_tokens and explicit brevity instruction.,True,TKT-018,Low,Model Output,Verbosity,The issue is a non-critical request for stylistic refinement which has already been addressed through prompt engineering and parameter tuning.
TKT-029,2024-01-28,CUST-4421,Safety,Content Filter,High,Open,,,,Second escalation on content filtering (see TKT-017). Enterprise agreement still in review. This is taking too long.,,True,"TKT-001, TKT-004, TKT-017",High,Onboarding,Contract Negotiation,This is a recurring escalation regarding contract delays for an enterprise customer who has previously filed multiple tickets. Immediate follow-up with the legal or sales team is required to prevent churn.
TKT-030,2024-01-28,CUST-6671,Model Output,Inconsistency,,Resolved,Tom W.,2.5,4.0,Different output formats from same prompt on different days.,Version pinning explained and implemented.,True,"TKT-008, TKT-020",Low,Model Output,Version Control,The issue was caused by model version updates and has been resolved by implementing version pinning; no further action is required.
TKT-031,2024-01-29,CUST-3344,Performance,Throughput,Medium,Resolved,Sarah J.,3.0,4.0,Seeing performance degrade as document length increases,Context length impact explained. Chunking strategy recommended.,True,TKT-016,Low,Performance,Context Length/Optimization,The issue was identified as a standard context length limitation and resolved via architectural guidance on chunking; no further engineering action is required.
TKT-032,2024-01-29,CUST-2891,Billing,Disputed Charge,,Resolved,Marcus T.,2.0,3.0,Charged for a month we didn't use the service. We paused our subscription.,Credit issued. Pause functionality clarified.,True,"TKT-002, TKT-013",Low,Billing,Subscription Management,"This ticket is resolved, but the recurring nature suggests a need for better customer education regarding the subscription pause workflow to prevent future disputes."
TKT-033,2024-01-30,CUST-7743,Integration,,Low,Resolved,Priya K.,1.0,5.0,Python SDK throwing deprecation warnings,Updated to latest SDK version.,True,"TKT-012, TKT-023",Low,Integration,SDK Maintenance,The issue involves standard deprecation warnings resolved by a version update; no further action is required as the customer is already on the latest SDK.
TKT-034,2024-01-30,CUST-1155,Model Output,Inconsistency,High,Escalated,Tom W.,,,,,True,"TKT-011, TKT-019",High,Model Output,Inconsistency,"This is a recurring issue for a repeat customer with multiple prior tickets, suggesting a failure to resolve the underlying model behavior or user expectation gap. A senior engineer should review the consistency logs from TKT-011 and TKT-019 to provide a definitive resolution."
TKT-035,2024-01-31,CUST-5502,Model Output,Hallucination,High,Open,,,,Model generating fictional customer reviews for our e-commerce platform. This is going live next week.,,True,"TKT-006, TKT-015, TKT-025",High,Model Output,Hallucination,"The customer is reporting hallucinations that will impact their production launch next week. Given their history of recurring issues, this requires immediate attention to ensure model reliability before their go-live date."
TKT-036,2024-02-01,CUST-4892,Integration,Webhooks,,Resolved,Sarah J.,1.5,5.0,Need to set up real time notifications when batch processing completes,Webhook setup walkthrough provided.,True,"TKT-010, TKT-022",Low,Integration,Webhooks,"The customer requested guidance on configuring webhooks for batch processing, which was addressed via a walkthrough. No further action is required as the issue is resolved."
TKT-037,2024-02-01,CUST-2234,Model Output,Bias,Critical,Escalated,Marcus T.,,,,,True,"TKT-007, TKT-021",Critical,Model Output,Bias,"This is a recurring issue involving model bias from a high-value customer with prior escalations, requiring immediate review by the safety and engineering teams to prevent brand damage."
TKT-038,2024-02-03,CUST-8801,Performance,Latency,,Open,,,,Response times now 20+ seconds. Completely unusable.,,True,"TKT-014, TKT-026",High,Performance,API Latency,"The user is reporting consistent 20+ second response times rendering the service unusable, and this is a recurring customer with a history of performance issues."
TKT-040,2024-02-04,CUST-9921,Model Output,Quality,Low,Resolved,Priya K.,2.0,4.0,Can the model respond in different tones depending on context (formal vs casual)?,"Yes, demonstrated tone control via system prompt configuration.",True,"TKT-018, TKT-028",Low,Onboarding,Prompt Engineering,The user is asking a how-to question regarding model configuration that has already been resolved; no further action is required.
TKT-039,2024-02-04,CUST-3310,Account,Cancellation,High,Open,,,,We are cancelling our subscription (ref TKT-009 TKT-024). Please process cancellation and arrange data export.,,True,"TKT-003, TKT-009, TKT-024",Medium,Billing,Account Cancellation,The customer is requesting a formal account closure and data export after previous unresolved attempts; prioritize retention outreach before final processing.
TKT-041,2024-02-05,CUST-1122,Integration,Authentication,,Resolved,Tom W.,1.0,5.0,How do I implement API key rotation securely?,Security best practices guide provided.,True,TKT-027,Low,Onboarding,Security Best Practices,"The user is requesting guidance on security implementation rather than reporting a malfunction, making this a documentation-focused query. Since the user is a recurring customer, ensure our documentation links are prominent for future self-service."
TKT-042,2024-02-05,CUST-6671,Model Output,Hallucination,Medium,Resolved,Sarah J.,5.0,2.0,Model listing features our product doesn't have when users ask about capabilities. Very embarrassing in demos.,System prompt updated to restrict scope to documented features only. Knowledge base grounding recommended.,True,"TKT-008, TKT-020, TKT-030",Medium,Model Output,Hallucination,The customer is experiencing recurring issues with model accuracy affecting their business credibility. Recommend proactive outreach to assist with implementing RAG or advanced grounding to prevent further reputation damage.
TKT-043,2024-02-06,CUST-7743,Billing,Overage,,Resolved,Marcus T.,1.0,4.0,Unexpected overage charges this month. Usage looked normal to us.,Usage breakdown provided. Explained token counting includes both input and output.,True,"TKT-012, TKT-023, TKT-033",Medium,Billing,Overage Charges,Customer repeatedly requested clarification on billing metrics; a proactive summary of token usage calculations has been shared to reduce future confusion.
TKT-044,2024-02-07,CUST-4421,Safety,Content Filter,High,Open,,,,TKT-017 TKT-029. Enterprise agreement signed 2 weeks ago. Filters still not configured. This has been open 3 weeks.,,True,"TKT-001, TKT-004, TKT-017, TKT-029",High,Onboarding,Configuration Delay,This enterprise client is experiencing a recurring onboarding failure where safety filters remain unconfigured after three weeks. Immediate intervention from the implementation team is required to fulfill the service agreement and resolve this repeated escalation.
TKT-045,2024-02-07,CUST-5502,Model Output,Hallucination,High,Open,,,,TKT-035 follow up. Customer went live. Now live with hallucination bug.,,True,"TKT-006, TKT-015, TKT-025, TKT-035",High,Model Output,Hallucination,"This is a recurring issue for a live production customer, indicating that previous mitigation attempts were unsuccessful. Immediate engineering review is required to stabilize the model's output in the customer's production environment."
TKT-046,2024-02-10,CUST-3344,Model Output,Quality,,Resolved,Priya K.,3.5,4.0,Output quality drops significantly for non-English text especially for our German customers,Multilingual prompt strategies provided. Known limitation for some specialised domains documented.,True,"TKT-016, TKT-031",Medium,Model Output,Multilingual Quality,"The user is experiencing recurring issues with non-English performance, which was partially addressed with prompting strategies. Given the customer's history of tickets on this topic, a proactive check-in or technical review of their specific use case is recommended."
TKT-047,2024-02-10,CUST-2891,Integration,API Error,Medium,Resolved,Tom W.,2.0,5.0,Intermittent 500 errors about twice a day,Identified and fixed upstream service issue.,True,"TKT-002, TKT-013, TKT-032",Medium,Integration,API Error,"This is a recurring intermittent issue that has been resolved, but the customer's history suggests a need for proactive monitoring to ensure long-term stability."
TKT-048,2024-02-11,CUST-1155,Model Output,Inconsistency,Critical,Escalated,Sarah J.,,,,,True,"TKT-011, TKT-019, TKT-034",High,Model Output,Inconsistency,This is a recurring customer with multiple previous tickets regarding model output consistency; prioritize an engineering review to determine if this is a persistent regression or a configuration issue.
TKT-049,2024-02-12,CUST-8801,Performance,Latency,High,Open,,,,Latency from TKT-038 getting worse. Now 30+ seconds. No response to previous ticket.,,True,"TKT-014, TKT-026, TKT-038",Critical,Performance,API Latency,This is a recurring performance issue for a long-term customer that has escalated to 30+ second response times and remains unresolved despite multiple prior tickets. Immediate technical intervention is required to prevent churn and restore service levels.
TKT-050,2024-02-12,CUST-9921,Onboarding,Training,,Resolved,Marcus T.,2.0,5.0,Can you do a training session for our new team members?,Training session booked for following week.,True,"TKT-018, TKT-028, TKT-040",Low,Onboarding,Training,This is a recurring training request from a loyal customer that has already been resolved and scheduled by the support team.
